t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,tx,ty,tz,nx,ny,nz,bx,by,bz,kappa,ftx,fty,ftz,fnx,fny,fnz,fx,fy,fz
2.353516125823349181e-01,3.264994182830939229e-01,3.992534156860645389e-01,0.000000000000000000e+00,4.992783496084129524e+00,1.537180447415527063e-01,0.000000000000000000e+00,5.355726718041720957e+00,-2.125600398746834330e+01,9.810000000000000497e+00,-4.574476713941076014e+02,1.522774546628083044e+03,0.000000000000000000e+00,9.995263848111289873e-01,3.077346367237122210e-02,0.000000000000000000e+00,3.077346367237122210e-02,-9.995263848111289873e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,8.580941873770611128e-01,4.696843747399393365e+00,1.446066383357265395e-01,0.000000000000000000e+00,6.588829706423278143e-01,-2.140061062580407025e+01,0.000000000000000000e+00,5.355726718041720957e+00,-2.125600398746834330e+01,9.810000000000000497e+00
2.355885820068226999e-01,3.276827045933489169e-01,3.992892454679567438e-01,0.000000000000000000e+00,4.994039840043568823e+00,1.487237535938602806e-01,0.000000000000000000e+00,5.247886955249579266e+00,-2.089553954707905348e+01,9.810000000000000497e+00,-4.527592995102932036e+02,1.519528780278451450e+03,0.000000000000000000e+00,9.995568630926467968e-01,2.976705300139251970e-02,0.000000000000000000e+00,2.976705300139251970e-02,-9.995568630926467968e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,8.429624310537066068e-01,4.621513918347930350e+00,1.376298386151795228e-01,0.000000000000000000e+00,6.263730369016488053e-01,-2.103316938569423300e+01,0.000000000000000000e+00,5.247886955249579266e+00,-2.089553954707905348e+01,9.810000000000000497e+00
2.358256092088068523e-01,3.288665734494946591e-01,3.993239101580676187e-01,0.000000000000000000e+00,4.995271056945929544e+00,1.438136072423712997e-01,0.000000000000000000e+00,5.141120605533295418e+00,-2.053575265837206487e+01,9.810000000000000497e+00,-4.481681411685804051e+02,1.516318075318864430e+03,3.637978807091712952e-12,9.995858268219148801e-01,2.877802663055044688e-02,0.000000000000000000e+00,2.877802663055044688e-02,-9.995858268219148801e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,8.278883112044750359e-01,4.546129189454279462e+00,1.308828350397832074e-01,0.000000000000000000e+00,5.949914160790161777e-01,-2.066663549341184947e+01,0.000000000000000000e+00,5.141120605533295418e+00,-2.053575265837206487e+01,9.810000000000000497e+00
2.360626929210829505e-01,3.300510152226733829e-01,3.993574290141128635e-01,0.000000000000000000e+00,4.996477380136185253e+00,1.389875029155782094e-01,0.000000000000000000e+00,5.035405804807907337e+00,-2.017663677846479331e+01,9.810000000000000497e+00,-4.436731251248893386e+02,1.513142244860522624e+03,-3.637978807091712952e-12,9.996133289059039306e-01,2.780634232791689975e-02,0.000000000000000000e+00,2.780634232791689975e-02,-9.996133289059039306e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000222e+00,8.128709153735171888e-01,4.470690934001457784e+00,1.243616496082766837e-01,0.000000000000000000e+00,5.647148708064496647e-01,-2.030099842807306842e+01,0.000000000000000000e+00,5.035405804807907337e+00,-2.017663677846479331e+01,9.810000000000000497e+00
2.362998327739956606e-01,3.312360202840272660e-01,3.993898212938074010e-01,0.000000000000000000e+00,4.997659042277011743e+00,1.342453387902203810e-01,0.000000000000000000e+00,4.930720604032551968e+00,-1.981818512575789271e+01,9.810000000000000497e+00,-4.392731411376535107e+02,1.510000526922594872e+03,0.000000000000000000e+00,9.996394211561656640e-01,2.685195841211828957e-02,0.000000000000000000e+00,2.685195841211828957e-02,-9.996394211561656640e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,7.979093275364029791e-01,4.395200219826356225e+00,1.180623042848899518e-01,0.000000000000000000e+00,5.355203842061957431e-01,-1.993624743004278344e+01,0.000000000000000000e+00,4.930720604032551968e+00,-1.981818512575789271e+01,9.810000000000000497e+00
2.365370280616408694e-01,3.324215790046987085e-01,3.994211062548669311e-01,0.000000000000000000e+00,4.998816269719118743e+00,1.295870138763740298e-01,0.000000000000000000e+00,4.827043358950871443e+00,-1.946039063945351089e+01,9.810000000000000497e+00,-4.349673732129540440e+02,1.506895416867802851e+03,0.000000000000000000e+00,9.996641542993852658e-01,2.591483376167117228e-02,0.000000000000000000e+00,2.591483376167117228e-02,-9.996641542993852658e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000222e+00,7.830026286886808684e-01,4.319658202809907088e+00,1.119808325142091499e-01,0.000000000000000000e+00,5.073851561409644662e-01,-1.957237147196772042e+01,0.000000000000000000e+00,4.827043358950871443e+00,-1.946039063945351089e+01,9.810000000000000497e+00
2.367742779767975925e-01,3.336076817558298879e-01,3.994513031550068760e-01,0.000000000000000000e+00,4.999949283663519317e+00,1.250124280996360582e-01,0.000000000000000000e+00,4.724352653087817266e+00,-1.910324599270163404e+01,9.810000000000000497e+00,-4.307550373749290884e+02,1.503829942264375859e+03,3.637978807091712952e-12,9.996875779877973933e-01,2.499492782329372498e-02,0.000000000000000000e+00,2.499492782329372498e-02,-9.996875779877973933e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000222e+00,7.681498967327703431e-01,4.244066052509138487e+00,1.061132767832110441e-01,0.000000000000000000e+00,4.802866005786787795e-01,-1.920935926948484607e+01,0.000000000000000000e+00,4.724352653087817266e+00,-1.910324599270163404e+01,9.810000000000000497e+00
2.370115811986575061e-01,3.347943189085633153e-01,3.994804312519424361e-01,0.000000000000000000e+00,5.001058298518943346e+00,1.205214823148790387e-01,0.000000000000000000e+00,4.622627426742800694e+00,-1.874674358510799621e+01,9.810000000000000497e+00,-4.266351066920178710e+02,1.500803514876344707e+03,-3.637978807091712952e-12,9.997097408094114401e-01,2.409220062134762377e-02,0.000000000000000000e+00,2.409220062134762377e-02,-9.997097408094114401e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,7.533502066425741273e-01,4.168425084213728482e+00,1.004556915916664378e-01,0.000000000000000000e+00,4.542023425290719896e-01,-1.884719927669966211e+01,0.000000000000000000e+00,4.622627426742800694e+00,-1.874674358510799621e+01,9.810000000000000497e+00
2.372489374043704469e-01,3.359814808340411130e-01,3.995085098033893667e-01,0.000000000000000000e+00,5.002143528319984433e+00,1.161140785075406717e-01,0.000000000000000000e+00,4.521846493422808422e+00,-1.839087561482168454e+01,9.810000000000000497e+00,-4.226065524873301911e+02,1.497815425384520495e+03,-3.637978807091712952e-12,9.997306902981160093e-01,2.320661276559985928e-02,0.000000000000000000e+00,2.320661276559985928e-02,-9.997306902981160093e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,7.386026307717443729e-01,4.092736276974802578e+00,9.500413146579989032e-02,0.000000000000000000e+00,4.291102164480060099e-01,-1.848587974628748398e+01,0.000000000000000000e+00,4.521846493422808422e+00,-1.839087561482168454e+01,9.810000000000000497e+00
2.374863457860166283e-01,3.371691579034056807e-01,3.995355580670625351e-01,0.000000000000000000e+00,5.003205180428849097e+00,1.117901196808846753e-01,0.000000000000000000e+00,4.421989009053768349e+00,-1.803563401758727736e+01,9.810000000000000497e+00,-4.186686117832541640e+02,1.494868289342441130e+03,-3.637978807091712952e-12,9.997504729435957582e-01,2.233812545976895936e-02,0.000000000000000000e+00,2.233812545976895936e-02,-9.997504729435957582e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999997780e-01,7.239062387070537286e-01,4.017000747173566921e+00,8.975466287917557850e-02,0.000000000000000000e+00,4.049882618802010392e-01,-1.812538868046645391e+01,0.000000000000000000e+00,4.421989009053768349e+00,-1.803563401758727736e+01,9.810000000000000497e+00
2.377238055018902618e-01,3.383573404877993074e-01,3.995615953006776966e-01,0.000000000000000000e+00,5.004243457533855910e+00,1.075495099520423214e-01,0.000000000000000000e+00,4.323034326090110291e+00,-1.768101050444234090e+01,9.810000000000000497e+00,-4.148205100379364012e+02,1.491964667631655175e+03,0.000000000000000000e+00,9.997691342010996962e-01,2.148670050947025859e-02,0.000000000000000000e+00,2.148670050947025859e-02,-9.997691342010996962e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000222e+00,7.092600978586255378e-01,3.941219604978609237e+00,8.470336040319707827e-02,0.000000000000000000e+00,3.818147211115007766e-01,-1.776571386484553727e+01,0.000000000000000000e+00,4.323034326090110291e+00,-1.768101050444234090e+01,9.810000000000000497e+00
2.379613152206671300e-01,3.395460189583642263e-01,3.995866407619502181e-01,0.000000000000000000e+00,5.005258555936157983e+00,1.033921545561729410e-01,0.000000000000000000e+00,4.224962136097673238e+00,-1.732699654693468361e+01,9.810000000000000497e+00,-4.110612900901469402e+02,1.489103870009741513e+03,3.637978807091712952e-12,9.997867185010573809e-01,2.065230032919577671e-02,0.000000000000000000e+00,2.065230032919577671e-02,-9.997867185010573809e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,6.946632733232853685e-01,3.865394100431919888e+00,7.984630959341668111e-02,0.000000000000000000e+00,3.595680356657530719e-01,-1.740684285652810104e+01,0.000000000000000000e+00,4.224962136097673238e+00,-1.732699654693468361e+01,9.810000000000000497e+00
2.381988745868686141e-01,3.407351836862428929e-01,3.996107137085953553e-01,0.000000000000000000e+00,5.006250671324071533e+00,9.931796001331361090e-02,0.000000000000000000e+00,4.127751999581487752e+00,-1.697358343251438129e+01,9.810000000000000497e+00,-4.073900046844246390e+02,1.486285226396110374e+03,-3.637978807091712952e-12,9.998032692585049341e-01,1.983488795041371891e-02,0.000000000000000000e+00,1.983488795041371891e-02,-9.998032692585049341e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,6.801148279396924679e-01,3.789525155580416360e+00,7.517959698407164493e-02,0.000000000000000000e+00,3.382268440010716137e-01,-1.704876302949845268e+01,0.000000000000000000e+00,4.127751999581487752e+00,-1.697358343251438129e+01,9.810000000000000497e+00
2.384364827361750705e-01,3.419248250425774294e-01,3.996338333983286972e-01,0.000000000000000000e+00,5.007219992924158980e+00,9.532683403877710571e-02,0.000000000000000000e+00,4.031383816688135724e+00,-1.662076222499579714e+01,9.810000000000000497e+00,-4.038059271171914588e+02,1.483511209133044758e+03,-3.637978807091712952e-12,9.998188288823660619e-01,1.903442702825088040e-02,0.000000000000000000e+00,1.903442702825088040e-02,-9.998188288823660619e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999997780e-01,6.656138226538753644e-01,3.713613839167224651e+00,7.069932030760722741e-02,0.000000000000000000e+00,3.177699775209113509e-01,-1.669146154530340453e+01,0.000000000000000000e+00,4.031383816688135724e+00,-1.662076222499579714e+01,9.810000000000000497e+00
2.386741387954110505e-01,3.431149333985102912e-01,3.996560190888653885e-01,0.000000000000000000e+00,5.008166705547203890e+00,9.141868562818336597e-02,0.000000000000000000e+00,3.935837664858743423e+00,-1.626852378366537266e+01,9.810000000000000497e+00,-4.003083091435928509e+02,1.480784004378387181e+03,0.000000000000000000e+00,9.998334387845557725e-01,1.825088184855137852e-02,0.000000000000000000e+00,1.825088184855137852e-02,-9.998334387845557725e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,6.511593164133322453e-01,3.637661207320272094e+00,6.640158482853751598e-02,0.000000000000000000e+00,2.981764575384714400e-01,-1.633492536849390930e+01,0.000000000000000000e+00,3.935837664858743423e+00,-1.626852378366537266e+01,9.810000000000000497e+00
