t,sx,sy,sz,vx,vy,vz,ax,ay,az,jx,jy,jz,Fx,Fy,Fz
4.315789473684210620e+00,-6.521773675357809413e-03,-3.806022877425632028e-02,-9.153738091476917305e-01,9.714561467352843260e-02,-1.871434916233193427e-02,-5.095869164847558613e-02,-1.725945281156979899e-02,2.615038922195355164e-01,3.689844288571020314e-02,-7.761636414123027627e-01,-3.840753931481574734e-01,1.468313292280821851e-02,-1.725945281156980073e-03,2.615038922195355234e-02,-9.773101557114290960e-01
4.330827067669172692e+00,-5.063323511812468057e-03,-3.831230293570148104e-02,-9.161359250974449031e-01,9.679969410777471139e-02,-1.482658838195485829e-02,-5.040218491538713680e-02,-2.865585957884012047e-02,2.554900457840508232e-01,3.711579814480506917e-02,-7.394099069086970122e-01,-4.152957390077656186e-01,1.422249930033022379e-02,-2.865585957884012047e-03,2.554900457840508440e-02,-9.772884201855195352e-01
4.345864661654134764e+00,-3.611342743952612646e-03,-3.850661177636145738e-02,-9.168896482115079793e-01,9.628658554048603879e-02,-1.103268501827644674e-02,-4.984246196080407282e-02,-3.949351828653014512e-02,2.490279080637207154e-01,3.732618722556976104e-02,-7.018825012538960628e-01,-4.437024327785925037e-01,1.375663120485967963e-02,-3.949351828653014512e-03,2.490279080637207432e-02,-9.772673812774431701e-01
4.360902255639097724e+00,-2.168281891269139856e-03,-3.864461578133293607e-02,-9.176349309162430412e-01,9.561477142234063586e-02,-7.339063281604008178e-03,-4.927962813112059942e-02,-4.976223660637829616e-02,2.421595603256709861e-01,3.752953141412415650e-02,-6.637719341205541301e-01,-4.693279110624907213e-01,1.328552863640315024e-02,-4.976223660637830136e-03,2.421595603256709861e-02,-9.772470468585876535e-01
4.375939849624059796e+00,-7.364628720954098954e-04,-3.872786730248383574e-02,-9.183717272310680801e-01,9.479286622208973889e-02,-3.751518679027238644e-03,-4.871378995639955717e-02,-5.945462883260664577e-02,2.349265107709191946e-01,3.772575199658940309e-02,-6.252608839630714455e-01,-4.922158060784222466e-01,1.280919159497539983e-02,-5.945462883260664577e-03,2.349265107709191946e-02,-9.772274248003411934e-01
4.390977443609022757e+00,6.819226688092635668e-04,-3.875800117528094280e-02,-9.190999927862560925e-01,9.382957512726784743e-02,-2.752278639448302398e-04,-4.814505515037104111e-02,-6.856599415622890992e-02,2.273695329375010066e-01,3.791477025908582266e-02,-5.865236849257819962e-01,-5.124200451590658068e-01,1.232762008055510172e-02,-6.856599415622891686e-03,2.273695329375010135e-02,-9.772085229740915535e-01
4.406015037593984829e+00,2.084814425684507980e-03,-3.873672550149011989e-02,-9.198196848407365067e-01,9.273365463023451605e-02,3.085239186521998404e-03,-4.757353261043140158e-02,-7.709418784960041238e-02,2.195285177017263778e-01,3.809650748773391743e-02,-5.477258966103339954e-01,-5.300039438369991140e-01,1.184081409315209873e-02,-7.709418784960041411e-03,2.195285177017263986e-02,-9.771903492512267198e-01
4.421052631578946901e+00,3.470283919286501310e-03,-3.866581263121462303e-02,-9.205307622998919470e-01,9.151387509688653499e-02,6.325904871132697477e-03,-4.699933241764572139e-02,-8.503948658873464184e-02,2.114423389239080409e-01,3.827088496865430761e-02,-5.090239541854397753e-01,-5.450392991120387443e-01,1.134877363277459611e-02,-8.503948658873465224e-03,2.114423389239080547e-02,-9.771729115031346780e-01
4.436090225563909861e+00,4.836534436954229715e-03,-3.854709037465459120e-02,-9.212331857333595497e-01,9.017898539720457796e-02,9.443367746128410178e-03,-4.642256583674564396e-02,-9.240444909999433187e-02,2.031487326889875600e-01,3.843782398796773830e-02,-4.705648958850317531e-01,-5.576054890388881802e-01,1.085149869941110651e-02,-9.240444909999433881e-03,2.031487326889875808e-02,-9.771562176012033030e-01
4.451127819548871933e+00,6.181900456701902580e-03,-3.838243347089652369e-02,-9.219269173928308359e-01,8.873767965932963242e-02,1.243478459230162696e-02,-4.584334531613035862e-02,-9.919377327018158441e-02,1.946841900038988604e-01,3.859724583179449664e-02,-4.324861645606172811e-01,-5.677885843017901335e-01,1.034898929305834957e-02,-9.919377327018159135e-03,1.946841900038988674e-02,-9.771402754168206917e-01
4.466165413533834005e+00,7.504846587624867081e-03,-3.817375533800264342e-02,-9.226119212298493633e-01,8.719856619210770987e-02,1.529785096832759692e-02,-4.526178448786636471e-02,-1.054141508064623534e-01,1.860838627318130989e-01,3.874907178625520976e-02,-3.949154796269938039e-01,-5.756804769577658076e-01,9.841245413726169844e-03,-1.054141508064623638e-02,1.860838627318131197e-02,-9.771250928213746079e-01
4.481203007518796966e+00,8.803966059478328388e-03,-3.792300012567517697e-02,-9.232881629136118207e-01,8.557013860513512649e-02,1.803078044731655852e-02,-4.467799816768776994e-02,-1.110741204754754907e-01,1.773814824692034886e-01,3.889322313747047011e-02,-3.579707754686408672e-01,-5.813780310371714499e-01,9.328267061414565603e-03,-1.110741204754754977e-02,1.773814824692035094e-02,-9.771106776862530374e-01
